[2025-02-13_19-11-34-418] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-13_19-11-34-418.wav | Frequencies: [np.float64(0.3605227579990987), np.float64(138.0802163136548), np.float64(19.46822893195133), np.float64(53.35736818386661), np.float64(104.55159981973863), np.float64(80.75709779179812), np.float64(226.408292023434), np.float64(161.51419558359623), np.float64(200.4506534474989), np.float64(747.0031545741325)] | Type: Normal Sound Range
[2025-02-13_19-11-37-447] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-13_19-11-37-447.wav | Frequencies: [np.float64(2.1631365479945925), np.float64(138.0802163136548), np.float64(20.910319963947725), np.float64(107.79630464173052), np.float64(43.983776475890046), np.float64(176.65615141955837), np.float64(84.7228481297882), np.float64(223.1635872014421), np.float64(64.89409643983777), np.float64(157.90896800360525)] | Type: Normal Sound Range
[2025-02-13_19-11-40-455] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-13_19-11-40-455.wav | Frequencies: [np.float64(0.7210455159981974), np.float64(138.0802163136548), np.float64(40.01802613789996), np.float64(61.28886885984678), np.float64(20.18927444794953), np.float64(102.02794051374494), np.float64(81.83866606579541), np.float64(164.75890040558812), np.float64(222.80306444344302), np.float64(203.69535826949078)] | Type: Normal Sound Range
[2025-02-13_19-11-43-485] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-13_19-11-43-485.wav | Frequencies: [np.float64(1.8026137899954935), np.float64(138.0802163136548), np.float64(54.07841369986481), np.float64(21.270842721946824), np.float64(175.57458314556106), np.float64(82.9202343397927), np.float64(157.54844524560613), np.float64(227.8503830554304), np.float64(101.30689499774674), np.float64(202.61378999549348)] | Type: Normal Sound Range
[2025-02-13_19-11-46-492] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-13_19-11-46-492.wav | Frequencies: [np.float64(1.0815682739972963), np.float64(138.0802163136548), np.float64(64.53357368183867), np.float64(22.35241099594412), np.float64(43.983776475890046), np.float64(162.5957638575935), np.float64(103.10950878774223), np.float64(85.0833708877873), np.float64(197.205948625507), np.float64(274.35781883731414)] | Type: Normal Sound Range
[2025-02-13_19-11-55-532] Confidence: 0.90 | Text: hello | Audio: audio_logs/speech_2025-02-13_19-11-55-532.wav | Frequencies: [np.float64(182.42451554754396), np.float64(503.2897701667418), np.float64(335.6466876971609), np.float64(570.7075259125733), np.float64(380.3515096890491), np.float64(128.34610184767914), np.float64(6.849932401982875), np.float64(1379.7205948625508), np.float64(548.3551149166292), np.float64(358.35962145110415)] | Type: Normal Sound Range
[2025-02-13_19-12-01-723] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-13_19-12-01-723.wav | Frequencies: [np.float64(139.8828301036503), np.float64(18.747183415953135), np.float64(51.194231635872015), np.float64(75.34925642181163), np.float64(209.10319963947725), np.float64(96.62009914375845), np.float64(165.11942316358721), np.float64(277.24200090130694), np.float64(184.94817485353764), np.float64(258.1342947273547)] | Type: Normal Sound Range
[2025-02-13_19-12-07-422] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-13_19-12-07-422.wav | Frequencies: [np.float64(139.5223073456512), np.float64(18.386660657954035), np.float64(74.98873366381254), np.float64(179.90085624155026), np.float64(209.82424515547547), np.float64(272.5552050473186), np.float64(111.7620549797206), np.float64(38.57593510590356), np.float64(664.8039657503381), np.float64(252.3659305993691)] | Type: Normal Sound Range
[2025-02-13_19-12-13-373] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-13_19-12-13-373.wav | Frequencies: [np.float64(139.8828301036503), np.float64(18.386660657954035), np.float64(108.8778729157278), np.float64(66.33618747183417), np.float64(175.93510590356018), np.float64(0.3605227579990987), np.float64(89.77016674177558), np.float64(42.54168544389365), np.float64(223.8846327174403), np.float64(274.35781883731414)] | Type: Normal Sound Range
[2025-02-13_19-12-19-140] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-13_19-12-19-140.wav | Frequencies: [np.float64(18.386660657954035), np.float64(139.8828301036503), np.float64(38.57593510590356), np.float64(66.33618747183417), np.float64(98.42271293375396), np.float64(176.29562866155928), np.float64(210.18476791347456), np.float64(251.6448850833709), np.float64(271.47363677332135), np.float64(119.33303289770167)] | Type: Normal Sound Range
